stock,p_e_ratio,p_b_ratio,p_s_ratio,ev_ebitda,ev_gp,p_e_ratio_percentile,p_b_ratio_percentile,p_s_ratio_percentile,ev_ebitda_percentile,ev_gp_percentile,rv_score
CIPLA.NS,22.937601,4.0297093,4.278505,15.8,5.994567617779268,0.2360097323600973,0.36253041362530414,0.5304136253041363,0.2895377128953771,0.25790754257907544,0.335279805352798
CLEAN.NS,48.54379,9.758604,13.62253,33.75,24.4915409817387,0.6399026763990268,0.7299270072992701,0.9197080291970803,0.6909975669099757,0.9148418491484185,0.7790754257907542
COALINDIA.NS,6.9104447,2.4655664,1.7975583,4.647,1.8754803534879363,0.019464720194647202,0.18004866180048662,0.2116788321167883,0.029197080291970802,0.019464720194647202,0.09197080291970802
COFORGE.NS,55.25,7.3715153,3.9718285,34.641,10.385523584841527,0.7226277372262774,0.6301703163017032,0.5036496350364964,0.7104622871046229,0.5109489051094891,0.6155717761557178
COLPAL.NS,45.043682,39.89185,10.862776,32.657,15.490948911086042,0.5863746958637469,0.9854014598540146,0.878345498783455,0.6666666666666666,0.6934306569343066,0.762043795620438
COCHINSHIP.NS,45.869064,6.936409,8.414648,37.148,21.47435986659384,0.6009732360097324,0.6009732360097324,0.7712895377128953,0.7591240875912408,0.8661800486618005,0.7197080291970803
CONCOR.NS,31.947025,3.4403381,4.6848145,20.106,16.64948230917163,0.36739659367396593,0.29683698296836986,0.5644768856447688,0.39659367396593675,0.7420924574209246,0.47347931873479315
CRAFTSMAN.NS,54.05429,3.7332613,2.169617,16.222,5.767239818035837,0.7007299270072993,0.3260340632603406,0.2773722627737226,0.29683698296836986,0.2360097323600973,0.367396593673966
CONCORDBIO.NS,53.182987,10.899515,15.975243,37.322,21.17630645086904,0.6861313868613139,0.781021897810219,0.948905109489051,0.7615571776155717,0.8613138686131386,0.8077858880778589
CAMS.NS,39.524628,17.599781,13.223992,29.668,19.404358221186875,0.5012165450121655,0.9294403892944039,0.9099756690997567,0.6204379562043796,0.8223844282238443,0.75669099756691
CUMMINSIND.NS,39.213642,11.320121,7.7018723,32.884,20.816606458622665,0.49635036496350365,0.8029197080291971,0.7347931873479319,0.6739659367396593,0.851581508515815,0.7119221411192214
CROMPTON.NS,40.305996,6.822749,2.7306643,27.826,8.587662315935031,0.5182481751824818,0.5815085158150851,0.36982968369829683,0.5815085158150851,0.41849148418491483,0.49391727493917276
COROMANDEL.NS,36.097973,5.838937,2.5831122,22.769,9.800824599172204,0.45012165450121655,0.5012165450121655,0.3381995133819951,0.45012165450121655,0.48175182481751827,0.4442822384428224
DLF.NS,40.49226,4.02354,23.126995,88.347,44.79268216512813,0.5231143552311436,0.36009732360097324,0.9732360097323601,0.9610705596107056,0.9805352798053528,0.759610705596107
CYIENT.NS,20.24371,2.4798987,1.74486,11.557,5.34130166410129,0.19464720194647203,0.18491484184914841,0.1922141119221411,0.18491484184914841,0.2141119221411192,0.19416058394160582
DOMS.NS,76.92452,17.135744,8.930504,47.081,19.27314992075588,0.8661800486618005,0.9245742092457421,0.8175182481751825,0.8637469586374696,0.8199513381995134,0.8583941605839417
DEEPAKFERT.NS,16.475576,2.5280013,1.4977487,9.467,5.171202096169924,0.13138686131386862,0.19951338199513383,0.16058394160583941,0.12165450121654502,0.20681265206812652,0.16399026763990268
DATAPATTNS.NS,52.63463,6.9719367,19.035557,40.099,24.4351376615375,0.681265206812652,0.6034063260340633,0.9586374695863747,0.8004866180048662,0.9124087591240876,0.7912408759124088
DABUR.NS,45.672604,7.8908696,6.522119,34.348,13.538083423063911,0.5961070559610706,0.6545012165450121,0.6739659367396593,0.7031630170316302,0.6301703163017032,0.6515815085158151
DALBHARAT.NS,61.351395,1.9779234,2.4383051,13.241,4.242409604691723,0.7688564476885644,0.12408759124087591,0.30656934306569344,0.2360097323600973,0.12895377128953772,0.31289537712895377
DEEPAKNTR.NS,35.084576,5.1696873,3.1973853,24.491,13.603338934726262,0.4306569343065693,0.45012165450121655,0.4257907542579075,0.5036496350364964,0.6326034063260341,0.4885644768856448
DELHIVERY.NS,995.3846,2.0357275,2.1887405,147.465,2.4072885790841454,1.0,0.1362530413625304,0.2822384428223844,0.9781021897810219,0.046228710462287104,0.4885644768856447
DIVISLAB.NS,70.41934,10.617345,16.03356,50.132,27.23639959315216,0.8272506082725061,0.7639902676399026,0.9513381995133819,0.8856447688564477,0.9318734793187348,0.8720194647201946
DIXON.NS,92.58968,33.392853,2.3814745,54.599,23.990784415992543,0.8978102189781022,0.9732360097323601,0.291970802919708,0.9148418491484185,0.9075425790754258,0.7970802919708029
DEVYANI.NS,968.53326,15.017573,3.6624954,38.848,8.203611447090937,0.9951338199513382,0.8880778588807786,0.45985401459854014,0.781021897810219,0.39172749391727496,0.7031630170316302
LALPATHLAB.NS,50.253693,10.462901,8.721813,31.909,14.469448708046244,0.6642335766423357,0.7493917274939172,0.7980535279805353,0.6520681265206812,0.656934306569343,0.7041362530413625
EASEMYTRIP.NS,57.2381,6.2279797,6.9620895,22.534,9.73807947506852,0.7372262773722628,0.537712895377129,0.7128953771289538,0.44038929440389296,0.4768856447688564,0.581021897810219
EIHOTEL.NS,32.246696,5.5871034,8.367358,21.551,12.18196856097919,0.3722627737226277,0.4793187347931874,0.7664233576642335,0.4282238442822384,0.583941605839416,0.5260340632603405
DRREDDY.NS,17.240602,2.910489,2.9705818,10.75,4.980988498689444,0.15085158150851583,0.24574209245742093,0.39659367396593675,0.15815085158150852,0.1897810218978102,0.22822384428223846
EIDPARRY.NS,16.862272,1.8412256,0.45102605,6.271,2.3699275249232894,0.1435523114355231,0.09732360097323602,0.021897810218978103,0.058394160583941604,0.038929440389294405,0.07201946472019465
ELGIEQUIP.NS,43.652344,8.208612,4.181781,29.303,8.194040979800505,0.5620437956204379,0.6788321167883211,0.5158150851581509,0.6155717761557178,0.38929440389294406,0.5523114355231143
EMAMILTD.NS,32.571426,9.847503,6.9246573,26.033,10.02593847140102,0.3844282238442822,0.732360097323601,0.708029197080292,0.5304136253041363,0.49148418491484186,0.5693430656934306
EICHERMOT.NS,32.46659,7.577691,7.716416,27.55,15.984045951985406,0.3819951338199513,0.6423357664233577,0.7372262773722628,0.5766423357664233,0.7153284671532847,0.6107055961070559
EMCURE.NS,30.76971,4.5159345,2.477723,15.192,4.344518317970862,0.34793187347931875,0.40145985401459855,0.31873479318734793,0.2725060827250608,0.1411192214111922,0.29635036496350364
ELECON.NS,26.175407,5.553069,4.8891644,19.501,10.076146980934574,0.2846715328467153,0.4768856447688564,0.5863746958637469,0.38686131386861317,0.49391727493917276,0.4457420924574209
ENDURANCE.NS,32.2554,4.865673,2.2894628,17.174,5.296277125468112,0.3746958637469586,0.4209245742092457,0.2871046228710462,0.3236009732360097,0.20924574209245742,0.32311435523114357
ENGINERSIN.NS,22.016237,3.8446996,3.1723971,26.988,14.32670075826474,0.22871046228710462,0.3333333333333333,0.41849148418491483,0.5547445255474452,0.6496350364963503,0.43698296836982975
NYKAA.NS,982.1111,34.009235,6.6917787,189.41,15.997472218864466,0.9975669099756691,0.975669099756691,0.6861313868613139,0.9829683698296837,0.7177615571776156,0.8720194647201946
ESCORTS.NS,28.654367,3.5343804,3.8018386,26.6,11.227715094853425,0.31873479318734793,0.30656934306569344,0.4768856447688564,0.537712895377129,0.5450121654501217,0.43698296836982975
EXIDEIND.NS,39.056805,2.2411652,1.813962,18.012,5.815309007590639,0.49148418491484186,0.16058394160583941,0.21897810218978103,0.35279805352798055,0.2384428223844282,0.2924574209245742
ERIS.NS,54.644337,6.4881883,6.604888,24.841,10.199707771096367,0.7153284671532847,0.559610705596107,0.683698296836983,0.5085158150851582,0.5036496350364964,0.5941605839416059
FINEORG.NS,29.673735,5.9923744,5.758812,21.654,12.679532746083693,0.340632603406326,0.5182481751824818,0.610705596107056,0.4306569343065693,0.5985401459854015,0.4997566909975669
FSL.NS,40.16109,5.7166543,2.9846787,26.623,8.932655851162416,0.51338199513382,0.48905109489051096,0.40145985401459855,0.5401459854014599,0.44038929440389296,0.4768856447688565
GRINFRA.NS,8.642976,1.2658188,1.3236473,8.55,5.618246821803656,0.0364963503649635,0.043795620437956206,0.13381995133819952,0.09245742092457421,0.22871046228710462,0.10705596107055962
FINPIPE.NS,13.664093,1.6066353,2.6015594,16.986,6.15385726826938,0.09245742092457421,0.07785888077858881,0.340632603406326,0.31873479318734793,0.2725060827250608,0.2204379562043796
GVT&D.NS,91.01233,26.082348,8.859463,50.954,23.46085491989277,0.8905109489051095,0.9562043795620438,0.8102189781021898,0.8905109489051095,0.8978102189781022,0.889051094890511
GAIL.NS,9.339503,1.3844165,0.84080756,8.76,5.0846058157388985,0.043795620437956206,0.046228710462287104,0.0705596107055961,0.10218978102189781,0.19708029197080293,0.09197080291970802
FORTIS.NS,63.67157,6.241051,6.4843225,35.389,17.671996124690754,0.7834549878345499,0.5401459854014599,0.6715328467153284,0.7274939172749392,0.781021897810219,0.7007299270072993
FINCABLES.NS,19.304396,2.5867221,2.620982,20.303,10.724087744140174,0.18491484184914841,0.20681265206812652,0.34306569343065696,0.41119221411192214,0.5255474452554745,0.3343065693430657
GRSE.NS,47.39861,10.168733,4.212497,51.636,20.32375063126896,0.6253041362530414,0.7396593673965937,0.5231143552311436,0.8929440389294404,0.8467153284671532,0.7255474452554744
GICRE.NS,9.461574,0.78612936,1.5471485,4.951,4.784263622869701,0.046228710462287104,0.009732360097323601,0.17274939172749393,0.031630170316301706,0.1678832116788321,0.0856447688564477
GLAND.NS,34.48328,2.7638323,4.241377,15.983,6.876892328800291,0.40875912408759124,0.22871046228710462,0.5279805352798054,0.291970802919708,0.31630170316301703,0.35474452554744523
GLAXO.NS,54.04992,28.186804,12.526072,41.256,19.45099212587381,0.6982968369829684,0.9659367396593674,0.902676399026764,0.8102189781021898,0.8248175182481752,0.840389294403893
GILLETTE.NS,54.643913,23.904762,9.281412,35.377,15.50734124250491,0.7128953771289538,0.9464720194647201,0.8394160583941606,0.7250608272506083,0.6958637469586375,0.7839416058394161
GPIL.NS,15.700702,2.721206,2.3949757,9.572,4.859825269545106,0.11435523114355231,0.21897810218978103,0.29683698296836986,0.12408759124087591,0.17518248175182483,0.18588807785888078
GODIGIT.NS,166.69643,5.5358973,2.8669856,63.739,19.61464627277203,0.9635036496350365,0.4720194647201946,0.3819951338199513,0.9343065693430657,0.8321167883211679,0.7167883211678832
GODFRYPHLP.NS,34.364357,7.348204,6.771893,33.154,16.00031117181395,0.40632603406326034,0.6277372262773723,0.6982968369829684,0.681265206812652,0.7201946472019465,0.62676399026764
MEDANTA.NS,65.370766,10.555393,9.28622,40.53,17.883729484132346,0.7980535279805353,0.7591240875912408,0.8418491484184915,0.805352798053528,0.7858880778588808,0.7980535279805354
GODREJAGRO.NS,34.127426,5.998004,1.5168947,20.164,6.9035195843556565,0.40389294403892945,0.5206812652068127,0.1630170316301703,0.40632603406326034,0.31873479318734793,0.36253041362530414
GODREJPROP.NS,38.907806,5.2999215,14.733996,958.887,36.60402060893881,0.48661800486618007,0.45985401459854014,0.9391727493917275,0.9902676399026764,0.9683698296836983,0.7688564476885644
GRASIM.NS,45.04131,1.8738922,1.2274936,13.662,4.456765741940276,0.583941605839416,0.1070559610705596,0.12408759124087591,0.24330900243309003,0.15085158150851583,0.24184914841849148
GODREJIND.NS,74.6473,4.2812777,1.818834,19.997,8.841919428803068,0.851581508515815,0.3844282238442822,0.22141119221411193,0.39416058394160586,0.43309002433090027,0.45693430656934303
GRANULES.NS,23.150026,3.2315238,2.486372,12.622,4.60978118329704,0.24087591240875914,0.2846715328467153,0.32116788321167883,0.21654501216545013,0.16058394160583941,0.2447688564476886
GESHIP.NS,4.4943485,0.9587715,2.312605,2.72,2.3892745396594144,0.0072992700729927005,0.0267639902676399,0.2895377128953771,0.019464720194647202,0.043795620437956206,0.07737226277372262
GAEL.NS,17.343752,1.8456057,1.1392487,10.218,3.683272698848904,0.15328467153284672,0.09975669099756691,0.10462287104622871,0.145985401459854,0.1070559610705596,0.12214111922141117
FLUOROCHEM.NS,92.5867,6.8943872,9.093443,44.369,19.52510733018148,0.8953771289537713,0.5888077858880778,0.8321167883211679,0.8467153284671532,0.8272506082725061,0.7980535279805352
GRINDWELL.NS,48.083633,8.598605,6.33562,37.88,12.109775950553672,0.6277372262773723,0.6934306569343066,0.6593673965936739,0.7712895377128953,0.5742092457420924,0.6652068126520682
